,Params,KS Stat,p-value,95th Percentile,Is Above 95th
Accord Abacus,"(1.4484220498254003, -0.022271496464045602, 0.0002785329995735261, 0.0023189592638141717)",0.018760062230179453,0.6421487819385092,0.0359578571819447,False
Accord Prizma,"(1.5946701062286048, -0.03831011788993581, 0.0002517122299197768, 0.00098585900091827)",0.02220579630390429,0.4260109908904627,0.03367401154935337,False
BUX,"(1.60205726135326, 0.06245112060776427, 0.0012916107574200183, 0.0069695793743419976)",0.024997997084967083,0.28511304573446616,0.03288304014153605,False
Citadella,"(1.599067487059083, 0.09408636875243852, 0.0004856116521954678, 0.002556055954152191)",0.0231114330905976,0.3762970624355437,0.03352181974139022,False
Erste Indexkövető,"(1.5499528088992383, -0.009535829366717116, 0.0008095599232416206, 0.006784139834392401)",0.015673077667814894,0.8369843116051969,0.031740456312448956,False
Generali ESG,"(1.5929353616227404, -0.16718657309033108, -0.0004899747754301605, 0.00542706941510393)",0.043081152045774285,0.006315811610362062,0.03560843708189484,True
HOLD Columbus,"(1.656466355762321, -0.013403043622624863, 0.0003857717062689694, 0.002753014745314943)",0.013950961860453859,0.9206152724930037,0.03484953227193146,False
HOLD Nemzetközi,"(1.5627641575255309, -0.23118657631769948, -0.0009215351120831642, 0.00586409486614531)",0.06497559910380801,4.1634870412709226e-06,0.036373042062485,True
HOLD Orion,"(1.4875586415344069, 0.05537452035239011, 0.0004899233327820195, 0.003337584835638118)",0.01938839015236138,0.6006549721615494,0.03202241285799935,False
HOLD Abszolút,"(1.3081665183329305, 0.14066272541265132, 0.00046205945086755663, 0.0007667363714698333)",0.09062199675672455,1.777000869452493e-11,0.032983402900618866,True
MBH Fejlett Piaci,"(1.5466189287205518, -0.13330029194619808, -0.000247980806634596, 0.0058455126592140355)",0.038561046168819446,0.01979813888007973,0.03708379595847631,True
OTP Föld Kincsei,"(1.3228504987924778, 0.0819146230534692, 0.0018225134447141674, 0.005350809734362473)",0.06161417171418937,1.5547837785091435e-05,0.02996520583933496,True
OTP Klímaváltozás,"(1.611969811245721, -0.06747988245518463, -6.437129420840235e-05, 0.007511739045775284)",0.03530585368328243,0.041684436297963035,0.03489578829937405,True
OTP Supra,"(1.589729676990188, -0.005206160850033538, 0.00030971938813754475, 0.003634076984133186)",0.01683862977959899,0.7674305308657444,0.03496113619803625,False
Platina Delta,"(1.4276334657944605, -0.001391715114995537, 0.0008281526618220626, 0.004081082898166232)",0.02391672932264033,0.33528620189710723,0.035828199314953124,False
Raiffeisen Részvény,"(1.6910391162942768, -0.03362948437068672, 0.00041082686380477417, 0.0047306208927389345)",0.020113292532144944,0.5534884898721852,0.035169998621772273,False
Gránit Takarék,"(1.1079314900941117, -0.052489743722199764, -0.00023155078580964735, 0.0005641249682799335)",0.14675212830752699,1.8164058590710807e-29,0.03347235254349626,True
Gránit Apollo,"(1.4841176845388355, -0.20496368487074418, -0.0011660240093411811, 0.005004960489665876)",0.07351237782265518,1.0698500756568927e-07,0.03507211321697206,True
VIG Opportunity,"(1.5710163812409141, -0.29558032225978803, -0.001253223816640668, 0.005815635077457608)",0.06997007964696389,5.164210791514319e-07,0.0343481429518058,True
S&P 500,"(1.5352771127263645, -0.16327383246138222, -0.0005570512410448761, 0.007389392805829538)",0.048740347107440796,0.0012641514269696465,0.02959085581060714,True
QQQ,"(1.536368655480531, -0.18788152272829392, -0.0007959767238187353, 0.008985624851042524)",0.05021762892851178,0.0008040036294004473,0.03732205087572326,True
VGT,"(1.5994093834251102, -0.18432018765676553, -0.0006224695217514403, 0.009963834770617033)",0.04348040590178637,0.005674961813930428,0.032276541743080756,True
BRK-B,"(1.6778329539844936, 0.05743550807973475, 0.0010794734046336368, 0.008391927701605335)",0.016272687727740265,0.802174726737509,0.03310544523495835,False
USDHUF=X,"(1.6670640777770456, 0.09254673151898034, 0.0004926913411465112, 0.00457622446218363)",0.0247905302042985,0.2943030686322545,0.03600894291551133,False
